grams,width_cm,frequency,location,price,flexibility,moisture,horizontal_position,shape,distance,target
404,150,430,Italy,216,13.03,17.94,72.59,cylinder,35.01,widget8
454,164,684,Belgium,1369,56.06,73.07,-42.11,cylinder,43.16,widget3
648,180,633,China,820,39.3,52.98,-2.01,oblong,29.53,widget4
531,179,368,Italy,1002,43.15,66.36,13.55,cuboid,27.19,widget7
492,164,360,China,842,35.96,77.45,-128.56,oblong,24.54,widget7
500,139,852,Italy,1173,68.68,74.42,18.28,cylinder,49.61,widget3
652,135,631,China,982,54.73,42.42,27.58,cuboid,39.7,widget4
333,168,477,Belgium,958,72.76,71.44,23.17,oblong,24.56,widget2
373,96,593,Italy,735,49.17,56.37,63.14,cuboid,52.4,widget6
656,133,524,Belgium,592,20.93,35.71,70.15,cuboid,19.86,widget8
311,148,507,China,1223,38.59,86.17,-71.86,cylinder,28.42,widget5
469,120,364,Italy,777,39.36,73.23,136.63,oblong,54.86,widget1
522,140,638,Italy,528,83.74,66.74,80.98,oblong,58.86,widget6
550,127,347,Belgium,995,47.29,57.48,43.4,oblong,50.44,widget1
568,122,738,Belgium,986,76.38,57.86,4.36,oblong,41.97,widget6
431,118,517,Germany,960,73.27,50.56,166.04,oblong,47.28,widget6
454,96,659,Germany,531,84.54,59.46,37.33,oblong,43.23,widget6
569,106,471,Japan,884,30.01,44.14,60.45,oblong,51.17,widget1
283,141,495,Germany,1085,41.14,30.02,-26.59,cuboid,21.95,widget5
493,189,509,Belgium,788,24.71,65.88,-20.33,oblong,13,widget7
361,208,421,Japan,773,79.26,48,78.76,oblong,37.85,widget2
580,194,443,Italy,1046,45.45,59.2,-31.81,oblong,5.31,widget7
519,114,740,Italy,718,67.44,42.41,51.02,cuboid,43.05,widget6
576,192,543,China,757,35.15,43.97,-44.34,oblong,25.25,widget7
417,178,558,Italy,1203,32.24,37.14,63.06,cylinder,9.43,widget8
523,181,704,,1161,58.98,21.09,-29.13,cylinder,46.4,widget3
333,191,395,Japan,628,78.86,48.24,95.26,cuboid,12.63,widget2
632,178,568,Germany,741,26.55,58.02,31.87,oblong,25.78,widget4
536,123,435,Italy,647,51.59,35.88,-8.94,oblong,47.6,widget1
422,116,658,,812,72,50.47,135.45,cylinder,46.52,widget6
285,144,497,Germany,492,53.44,78.75,-67.95,cuboid,28.75,widget5
396,192,340,Japan,1028,69.43,40.88,99.95,oblong,19.87,widget2
508,145,504,Germany,562,88.47,54.64,58.16,oblong,42.76,widget6
373,159,514,China,820,74.86,43.32,57,oblong,17.02,widget2
147,151,564,Belgium,1034,48.53,52.59,-112.25,cylinder,28.82,widget5
373,214,339,Japan,498,72.82,33.7,75.03,oblong,23.42,widget2
474,156,461,France,700,57.9,65.14,63.79,oblong,42.39,widget1
479,68,663,Italy,217,76.79,58.88,53.1,cuboid,42.91,widget6
261,134,647,Italy,1021,44.95,75.14,-24.47,cylinder,36.4,widget5
416,151,530,Germany,374,87.23,49.24,24.77,oblong,55.22,widget6
519,90,441,Belgium,842,58.12,67.99,104.51,oblong,49.51,widget1
473,167,757,South Korea,897,36.02,36.34,63.2,oblong,37.63,widget4
462,151,765,United States,1823,62.23,38.38,-16.54,cylinder,35.02,widget3
356,160,509,Belgium,706,76.8,69.15,19.17,oblong,13.13,widget2
572,151,672,South Korea,928,37.53,54.36,63.41,oblong,37.97,widget4
604,121,380,Belgium,344,41.33,55.01,91.8,oblong,46.59,widget1
529,164,452,Japan,1293,26.62,52.58,101.47,other,27.12,widget8
461,218,500,Italy,504,34.71,53.7,-93.87,oblong,30.33,widget7
456,72,585,Italy,485,69.08,56.75,34.88,cuboid,50.05,widget6
496,135,684,Germany,1671,68.4,55.05,-46.93,other,54.59,widget3
290,196,566,,909,48.8,59.45,-57.46,cylinder,27.33,widget5
580,148,650,China,1127,39.27,57.22,20.08,oblong,29.53,widget4
423,172,380,Germany,745,35.92,43.56,116.54,cuboid,34.32,widget8
292,185,452,China,871,40.43,38.01,-46.98,cylinder,29.14,widget5
649,156,604,Belgium,978,20.24,36.72,53.44,cuboid,37.4,widget4
520,135,607,France,1317,75.64,41.52,-60.46,cuboid,32.38,widget3
491,162,486,Belgium,500,69.76,32.38,5.39,cuboid,26.41,widget2
638,168,330,Japan,752,42.32,64.54,-57.36,oblong,31.61,widget7
523,150,454,Belgium,671,51.46,38.56,-6.72,spherical,43.52,widget1
649,151,533,Japan,956,52.81,28.36,71.9,oblong,39.81,widget1
310,139,507,Germany,498,33.64,45.42,-30.27,cylinder,35.77,widget5
559,127,369,Italy,1374,49.77,57.74,113.61,spherical,50.85,widget1
417,109,635,United States,678,58.71,49.57,90.6,cuboid,42.69,widget6
706,208,562,Japan,1287,40.86,74.28,72.16,oblong,19.26,widget4
598,159,658,China,1193,42.94,44.93,27.4,oblong,24.41,widget4
628,164,700,China,903,31.98,71.97,38.5,oblong,20.03,widget4
425,195,349,Japan,550,68.82,50.99,68.92,oblong,17.6,widget2
293,215,395,Japan,940,75.55,25.31,117.83,cuboid,30.55,widget2
498,163,457,South Korea,867,34.93,48.27,-35.05,oblong,31.98,widget7
639,127,615,South Korea,1133,48.55,75.4,-24,oblong,39.89,widget4
557,162,388,Belgium,748,37.18,86.87,-64.82,oblong,33.84,widget7
313,157,549,Japan,790,62.07,35.67,16.71,oblong,26.16,widget2
380,76,377,Germany,697,68.58,86.19,50.75,cuboid,42.12,widget6
438,179,531,Japan,806,28.12,22.9,7.23,cuboid,27.97,widget8
409,129,612,Germany,770,76.43,94,96.76,cuboid,34.35,widget6
549,146,337,Italy,768,48.05,43.21,-9.26,spherical,51.64,widget1
438,127,761,Italy,1079,56.45,71.67,5.89,cylinder,57.91,widget3
440,165,390,Italy,1066,27.48,43.22,-109.07,oblong,19.98,widget7
663,172,507,China,1197,40.93,70.95,35.67,oblong,35.13,widget4
643,67,584,Germany,329,80.85,43.6,38.15,cuboid,48.22,widget6
325,142,463,Japan,860,54.4,57.53,-79.38,cuboid,34.52,widget5
522,112,649,Germany,1259,60.83,48.64,-23.53,cylinder,44.67,widget3
490,175,465,Japan,860,41.4,41.42,-14.6,cuboid,24.69,widget7
571,89,585,Belgium,981,40.64,36.35,32.01,oblong,47.29,widget1
492,93,500,Belgium,723,67.38,63.07,-4.28,cuboid,50.43,widget6
492,139,645,Italy,903,64.31,40.67,-15.12,cylinder,42.56,widget3
439,176,344,Japan,511,69.44,62.95,33.84,oblong,34.12,widget2
483,136,446,China,779,65,46.49,8.92,spherical,47.43,widget1
286,159,426,France,878,44.56,71.74,-30.24,cylinder,17.86,widget5
626,206,437,Japan,515,29.11,82.72,-65.75,oblong,31.13,widget7
609,119,694,France,396,80.62,73.97,80.12,cylinder,48.58,widget6
558,181,573,Japan,657,55.73,47.06,66.57,oblong,29.38,widget4
565,227,397,Belgium,268,22.3,38.23,-108,oblong,29.14,widget7
539,60,610,,537,91.46,58.17,37.44,cuboid,52.51,widget6
428,140,480,Italy,799,39.52,43.47,61.36,other,31.3,widget8
421,99,620,Germany,10,53.47,67.93,81.08,oblong,42.69,widget6
199,208,541,Belgium,1183,47.92,81.51,-56.2,other,18.81,widget5
397,157,429,China,918,100,71.44,104.24,oblong,30.22,widget2
555,157,508,United States,1471,66.24,30.29,-89.03,other,53.83,widget3
240,147,566,Italy,963,34.14,48.38,-69.1,cylinder,31.12,widget5
636,128,569,Belgium,1010,40.61,68.78,32.5,oblong,33.82,widget4
565,68,704,Germany,1129,72.63,61.69,16.38,cuboid,61.6,widget6
539,158,560,China,786,27.73,33.87,90.16,cylinder,16.35,widget8
466,128,423,Italy,902,70.88,87.31,20.57,spherical,52.45,widget1
493,80,681,,803,48.16,85.54,78.9,cuboid,31.8,widget6
186,165,640,Japan,687,44.93,71.08,-93.79,cylinder,16.45,widget5
484,146,603,France,1451,61.74,46.36,-63.95,other,32.59,widget3
518,120,643,France,918,79.35,84.15,53.65,cuboid,45.72,widget6
655,139,704,China,826,48.25,57.87,99.52,oblong,36.25,widget4
643,157,570,Belgium,909,41.77,67.84,7.92,cuboid,16.86,widget4
289,169,487,China,1343,50.98,77.02,-50.23,other,20.14,widget5
319,133,431,China,1170,74.68,39.28,55.91,oblong,27.79,widget2
469,194,473,Italy,369,30.99,66.88,-31.96,oblong,34.29,widget7
367,178,412,Italy,924,40.08,88.98,-1.08,oblong,23.91,widget7
626,148,520,Belgium,1162,38.51,38.25,28.86,cuboid,32.99,widget4
548,114,776,Italy,968,55.35,45.05,-35.91,cylinder,43.27,widget3
373,161,406,China,1059,49.58,85.14,-58.84,cylinder,32.81,widget5
430,210,391,Italy,476,42.75,73.11,-50.55,cuboid,28.65,widget7
189,157,469,Italy,1312,51.44,49.71,-48.06,cuboid,24.78,widget5
478,219,485,Japan,796,39.07,67.31,-45.34,spherical,27.41,widget7
467,191,446,South Korea,325,76.81,45.31,108.08,oblong,31.49,widget2
599,171,579,Belgium,1205,30.2,33.91,147.5,oblong,34.89,widget4
555,115,489,Belgium,506,46.84,51.78,106.53,oblong,48.96,widget1
443,131,614,Germany,716,66.94,84.18,-19.76,cuboid,42.87,widget6
371,125,764,France,1314,50.14,40.65,-18.56,other,45.59,widget3
359,202,319,,592,82.34,37.66,48.07,cuboid,23.87,widget2
215,185,525,China,956,34.54,63.47,-62.11,cylinder,11.03,widget5
275,195,392,China,814,54.74,60.96,-83.41,cuboid,29.4,widget5
532,193,514,China,791,41.94,38.53,-80.49,cuboid,28,widget7
240,203,491,Belgium,1173,47.73,68.74,-73.57,cuboid,30.88,widget5
710,102,517,Germany,817,73.21,62.34,51.4,oblong,56.95,widget1
635,161,697,Belgium,743,31.48,47.47,112.36,oblong,45.5,widget4
610,127,489,Japan,1285,34.76,43.28,5.89,oblong,28.07,widget4
413,85,709,Belgium,599,77.68,62.42,59.9,cuboid,47.16,widget6
385,232,358,Japan,1100,77.8,66.64,130.4,oblong,38.99,widget2
410,165,630,Italy,1312,47.52,40.4,-89.35,cylinder,53.3,widget3
289,192,440,Italy,866,50.23,41.65,-125.52,cylinder,21.18,widget5
579,168,534,Italy,862,20.51,20.77,-1.32,cuboid,23.53,widget8
507,219,445,Belgium,637,24.95,82.81,-124.36,oblong,15.39,widget7
623,149,489,,1142,51.04,16.78,65.28,cylinder,28.9,widget8
615,124,537,Belgium,1324,13.41,36.24,-25.75,oblong,33.88,widget4
556,228,365,,620,50.15,67.48,-68.5,oblong,20.2,widget7
286,130,611,Germany,1803,58.05,53.65,-33.37,cylinder,39.87,widget3
455,120,705,Japan,434,80.44,74.24,64.33,oblong,48.62,widget6
478,222,296,Japan,940,39.51,62.73,-29.89,oblong,32.88,widget7
536,127,361,,1047,40.16,52.57,88.79,oblong,54.4,widget1
249,177,407,Japan,500,85.37,63.89,99.3,oblong,33.73,widget2
420,194,399,Belgium,637,78.53,43.08,99.04,oblong,26.35,widget2
515,114,688,India,778,37.72,47.85,43.85,cuboid,23.74,widget4
481,119,733,Germany,1019,51.93,40.07,-28.24,other,41.16,widget3
558,136,602,Germany,1137,49.54,57.55,1.74,cylinder,49.42,widget3
465,200,574,China,654,22.26,45.3,69.07,cuboid,32.62,widget8
266,179,434,Italy,708,49.97,63.35,-37.58,cuboid,34.01,widget5
556,128,402,Germany,1021,48.23,19.64,10.39,oblong,47.44,widget1
599,108,428,,614,64.05,56.22,56.97,cuboid,57.05,widget6
387,139,400,Italy,928,25.12,49.39,64.87,oblong,35.46,widget1
508,184,397,China,747,21.4,91.92,-83.55,oblong,27.63,widget7
578,179,788,Belgium,1376,62.53,31.4,-43.07,cylinder,54.78,widget3
256,179,574,Japan,1121,44.59,63.32,-70.82,cylinder,21.45,widget5
429,127,627,Germany,877,93.56,57.35,70.99,cuboid,36.14,widget6
490,136,311,France,749,55.77,44.92,89.68,oblong,34.21,widget1
448,201,368,China,1113,37.12,84.6,-82.46,spherical,26.58,widget7
724,113,648,Belgium,1045,46.29,40.64,106.22,cuboid,21.13,widget4
592,142,460,Germany,600,61.55,37.8,62.68,cuboid,53.52,widget1
500,134,572,Germany,1493,57.16,79.19,-134.57,cylinder,42.43,widget3
521,126,432,Belgium,959,46.25,68.92,-9.34,oblong,31.17,widget1
603,157,657,Belgium,1087,37.33,63.12,-4.51,oblong,26.22,widget4
379,208,460,Japan,597,76.1,41.77,34.74,oblong,15,widget2
520,146,620,Japan,945,37.34,39.67,3.48,oblong,20.01,widget4
463,194,412,Japan,797,29.56,51.24,-83.55,oblong,16.39,widget7
571,190,550,,1101,30.51,50.35,117.18,oblong,41.66,widget4
496,217,395,Belgium,1002,34.52,48.44,44.75,cuboid,14.32,widget8
560,165,464,Japan,960,32.39,33.78,11.6,other,32.12,widget8
469,166,437,Belgium,654,41.25,35.22,10.48,cylinder,21.47,widget8
580,165,560,Belgium,861,41.43,39.68,36.23,cylinder,19.13,widget8
547,222,386,Belgium,658,35.54,46.37,-33.55,oblong,17.43,widget7
169,167,606,Italy,843,46.61,82.84,-96.85,cuboid,24.65,widget5
714,132,746,South Korea,1017,31.44,38.99,50.77,oblong,25.4,widget4
469,229,440,Italy,393,38.36,39.74,-76.91,oblong,19.53,widget7
422,135,636,Germany,1132,46.96,29.28,-32.93,cylinder,54.36,widget3
527,124,663,Germany,841,72.8,42.47,86.71,oblong,39.03,widget6
402,171,398,South Korea,563,75.38,71.72,42.6,oblong,40.27,widget2
510,88,425,,1172,50.34,46.15,69.34,oblong,42.19,widget1
479,173,625,United States,1045,67.08,30.64,-113.86,cylinder,52.96,widget3
556,138,508,India,1434,33.8,50.01,80.75,oblong,31.9,widget4
623,155,449,Japan,515,59.53,46.6,77.46,oblong,51.83,widget1
537,169,509,India,542,67.45,46.28,29.01,oblong,22.28,widget2
360,103,696,Germany,846,72.62,74.84,32.4,cuboid,44.97,widget6
442,104,635,Germany,871,83.74,59.96,43.62,cuboid,43.66,widget6
317,229,443,India,589,69.48,41.69,69.13,oblong,20.14,widget2
550,195,494,Germany,535,27.76,27.93,55.46,cylinder,29.08,widget8
409,197,527,South Korea,599,55.76,50.55,20.59,oblong,34.59,widget2
401,192,409,China,802,52.74,14.25,64.24,oblong,27.31,widget2
469,157,552,France,448,62.54,50.76,123.28,cylinder,45.1,widget6
269,145,446,Italy,922,50.3,62.88,-146.8,cuboid,20.08,widget5
514,145,770,Italy,1243,60.35,77.24,-47.35,other,58.34,widget3
441,195,428,Japan,746,29.36,60.89,-5.56,cylinder,31.98,widget8
521,172,762,Belgium,1128,45.27,72.35,-11.38,cuboid,42.54,widget3
547,158,484,Italy,1012,34.95,66.38,-37.33,oblong,26.04,widget7
261,154,638,Germany,891,43.44,32.69,-34.85,cylinder,30.37,widget5
474,133,685,Italy,1291,56.8,40.28,22.19,cylinder,48.5,widget3
339,162,727,Italy,1521,62.57,30.11,-27.23,other,50.98,widget3
619,223,471,Germany,1090,38.88,42.95,6.08,oblong,23.07,widget7
573,124,601,Italy,861,51.01,72.62,58.26,oblong,38.17,widget4
349,187,700,France,1111,55.48,54.21,-91.32,cylinder,41.56,widget3
454,123,615,France,1456,46.75,61.28,-40.63,other,53.84,widget3
578,110,737,Japan,963,28.93,53.76,100.66,oblong,35.34,widget4
541,120,363,France,1090,39.21,54.04,-1.41,oblong,47.06,widget1
633,125,351,Belgium,718,61.95,84.71,43.85,oblong,42.11,widget1
589,121,549,China,1114,42.32,46.4,115.48,oblong,23.06,widget4
608,177,662,India,1274,38.29,28.28,55.91,oblong,24.5,widget4
528,197,490,Japan,1217,21.64,50.27,-63.77,oblong,18.51,widget7
546,194,517,Belgium,1011,47.36,85.08,16.53,oblong,25.52,widget7
389,195,541,Germany,964,22.51,44.82,24.6,oblong,13.16,widget7
434,145,567,Germany,1209,53.58,34.31,-32.52,other,44.45,widget3
179,162,485,Belgium,1184,51.58,44.54,-163.65,cylinder,17.95,widget5
432,143,433,India,479,76.75,58.87,12.55,oblong,19.11,widget2
502,190,557,Belgium,1546,67.02,29.08,48.27,cylinder,51.56,widget3
578,110,376,Belgium,744,69.17,58.1,21.54,oblong,48.06,widget1
608,181,451,Belgium,652,33.67,31.06,62.66,cylinder,23.47,widget8
556,103,554,Germany,683,44.52,63.01,81.51,cuboid,49.3,widget1
401,118,567,Italy,710,61.63,74.19,123.71,cuboid,60.79,widget6
445,162,443,Belgium,805,28.32,33.22,61.48,cylinder,32.82,widget8
528,174,754,Germany,1831,58.93,69.25,-58.57,cylinder,59.25,widget3
532,149,712,Italy,1690,42.31,50.81,-110,cylinder,43.3,widget3
526,135,316,Italy,611,60.86,59.97,13.95,oblong,56.84,widget1
455,127,669,Italy,830,78.34,81.23,75.04,cylinder,44.05,widget6
489,237,404,China,1075,69.26,59.38,44.18,oblong,41.25,widget2
602,154,679,Japan,811,36.41,39.38,23.04,oblong,31.14,widget4
569,121,555,Russia,741,42.94,54.41,22.25,spherical,27.16,widget4
385,130,620,Italy,1482,45.02,59.03,-68.78,cylinder,41.79,widget3
472,142,482,Belgium,555,49.23,33,5.03,oblong,39.21,widget1
459,128,602,Germany,622,75.56,75.59,55.63,cuboid,39.64,widget6
244,165,492,Japan,796,43.7,48.07,-50.16,cylinder,28.06,widget5
473,199,531,Belgium,815,35.64,48.81,69.63,cylinder,27.28,widget8
446,143,385,Japan,516,89.77,54.26,125.98,oblong,21.45,widget2
489,166,444,China,646,37.08,81,-92.79,oblong,28.98,widget7
614,139,372,Italy,910,57,34.44,49.13,oblong,34.08,widget1
344,171,589,Belgium,1632,57.97,43.43,-55.49,cylinder,51.77,widget3
545,161,645,Germany,1248,62,44.46,-75.18,cylinder,49.55,widget3
540,100,608,Italy,1003,73.89,60.11,14.36,cuboid,29.67,widget6
541,165,581,China,665,47.88,65.84,51.76,oblong,20.03,widget4
606,165,546,Italy,1269,47.08,56.47,-7.36,spherical,26.55,widget4
522,210,407,Belgium,812,30.51,63.79,26.7,oblong,11.78,widget7
573,128,550,Japan,857,40.45,34.66,-22.3,oblong,28.57,widget4
322,151,542,France,1353,65.92,59.83,14.27,other,50.5,widget3
529,185,434,Japan,768,34.91,90.03,-85.82,cuboid,26.92,widget7
443,175,378,South Korea,802,74.99,54.8,73.95,oblong,32.95,widget2
507,165,502,Italy,371,33.82,64.81,-41.8,spherical,38.47,widget7
314,168,362,China,708,58.3,68.41,90.9,cuboid,25,widget2
419,148,689,France,1601,58.34,73.64,16.06,cylinder,51.83,widget3
660,152,400,Italy,965,50.73,63.14,22.2,oblong,46.3,widget1
556,245,539,Belgium,558,32.6,90.55,-99.35,oblong,19.41,widget7
388,218,385,Italy,614,64.97,29.64,118.75,oblong,23.36,widget2
532,163,469,Germany,831,37.17,53.93,42.17,oblong,36.72,widget1
501,187,530,China,595,25.67,40.42,-70.66,oblong,31.11,widget7
434,137,451,United States,597,71.95,86.4,53.05,cuboid,61.38,widget6
547,162,385,Belgium,714,23.08,58.01,-19.58,cylinder,19.56,widget8
401,151,540,Germany,775,89.48,75.02,39.08,cuboid,54.43,widget6
351,152,443,Japan,874,71.73,73.73,103.49,spherical,19.53,widget2
326,198,453,Italy,1242,60.52,64.15,61.71,oblong,25.8,widget2
295,160,478,Japan,1202,30.86,82.61,-161.03,cylinder,21.06,widget5
541,199,719,Belgium,1375,22.14,59.39,7.63,oblong,27.02,widget4
514,151,401,Belgium,710,25.64,27.41,117.67,cylinder,18.7,widget8
328,145,417,Japan,432,79.57,67.77,93.47,oblong,26.4,widget2
285,187,681,Germany,620,36.35,75.32,-48.41,cylinder,24.67,widget5
472,192,698,France,1669,55.8,54.9,-113.33,cylinder,38.62,widget3
318,142,401,France,1404,50.83,48.03,-53.38,cuboid,35.09,widget5
219,143,544,Italy,858,66.02,67.6,-96.33,cylinder,25.44,widget5
324,201,427,Italy,1562,32.09,76.63,-117.79,cylinder,22.11,widget5
601,169,642,South Korea,1339,23.36,40.53,113.82,spherical,35.44,widget4
579,177,655,South Korea,732,40.23,49.11,54.93,cuboid,39.61,widget4
264,176,617,China,897,52.75,72.28,-112.26,other,22.64,widget5
531,177,594,Belgium,1601,47.19,25.18,-14.84,other,63.15,widget3
550,115,513,Belgium,365,29.92,80.99,38.44,oblong,57.34,widget1
603,170,656,Japan,1374,30,54.67,16.17,cuboid,22.92,widget4
243,183,600,Japan,968,60.57,44.44,-102.24,other,30.06,widget5
540,171,634,France,1335,58.63,63.39,-16.4,other,55.54,widget3
228,218,533,Belgium,885,44.87,61.14,-55.08,cylinder,19.41,widget5
447,153,574,South Korea,447,52.45,70.56,-14.21,oblong,14.8,widget7
414,120,615,France,891,71.98,77.97,100.54,oblong,44.74,widget6
366,159,319,Belgium,1100,71.61,26.89,105.48,oblong,23.87,widget2
499,163,418,South Korea,635,94.63,44.26,119.49,spherical,34.62,widget2
540,127,380,Italy,861,35.82,74.57,109.95,oblong,43.42,widget1
540,233,496,Germany,508,27.35,49.96,-132.29,oblong,15,widget7
344,190,479,China,969,68.79,61.73,68.61,spherical,25.34,widget2
314,163,442,Japan,1252,49.88,76.71,-84.58,cylinder,31.01,widget5
287,167,568,Italy,1240,30.15,71.47,-113.73,cuboid,35.22,widget5
478,122,614,Belgium,1525,53.1,40.36,-21.64,other,55.17,widget3
498,92,475,Italy,992,49.36,61.45,55.28,spherical,41.59,widget1
537,90,490,Belgium,1021,66.16,62.21,51.73,cuboid,46.08,widget1
551,167,745,United States,1397,62.29,46.86,-52.32,other,47.78,widget3
533,107,658,France,141,80.55,68.24,60.16,oblong,49.05,widget6
190,210,491,,773,31.04,72.79,-47.93,cuboid,22.34,widget5
607,133,573,Japan,1122,52.54,72.87,-46.77,oblong,57.3,widget1
